228,السنة الثانية الثانوية مسار شرعي,الثاني,الجغرافيا,2
229,السنة الثانية الثانوية مسار شرعي,الثاني,الفنون,2
230,السنة الثانية الثانوية مسار شرعي,الثاني,اللياقة والثقافة الصحية,3
231,السنة الثانية الثانوية مسار شرعي,الثاني,النشاط,3
232,,,,
233,,,,
234,الصف الدراسي,الفصل,المادة الدراسية,عدد الحصص
235,السنة الثالثة الثانوية مسار عام,الأول,الرياضيات 3,4
236,السنة الثالثة الثانوية مسار عام,الأول,اللغة الإنجليزية 3,4
237,السنة الثالثة الثانوية مسار عام,الأول,الفيزياء 3,5
238,السنة الثالثة الثانوية مسار عام,الأول,الكيمياء 3,5
239,السنة الثالثة الثانوية مسار عام,الأول,الأحياء 3,4
240,السنة الثالثة الثانوية مسار عام,الأول,علوم الأرض والفضاء,3
241,السنة الثالثة الثانوية مسار عام,الأول,المجال الاختياري,5
242,السنة الثالثة الثانوية مسار عام,الأول,النشاط,1
243,,,,
244,الصف الدراسي,الفصل,المادة الدراسية,عدد الحصص
245,السنة الثالثة الثانوية مسار عام,الثاني,الرياضيات 3,4
246,السنة الثالثة الثانوية مسار عام,الثاني,اللغة الإنجليزية 3,4
247,السنة الثالثة الثانوية مسار عام,الثاني,الفيزياء 3,5
248,السنة الثالثة الثانوية مسار عام,الثاني,الكيمياء 3,3
249,السنة الثالثة الثانوية مسار عام,الثاني,الأحياء 3,4
